,ID,SMILES,"Tg, K",METHOD ID,METHOD NAME
0,1,Ic1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)I,533.0,4,"Tg (TMA), K, (exp) unknown conditions"
1,1,Ic1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)I,574.0,7,"Tg (DSC), K"
2,1,Ic1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)I,733.0,10,"Tsoft, K"
3,1,Ic1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)I,763.0,10,"Tsoft, K"
4,1,Ic1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)I,520.0,11,"Tg, K  (calc)"
5,3,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)I,545.0,6,"Tg (DTMA), K"
6,3,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)I,517.0,9,"Tg (unknown method), K"
7,3,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)I,543.0,10,"Tsoft, K"
8,3,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)I,540.0,10,"Tsoft, K"
9,3,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)I,511.0,11,"Tg, K  (calc)"
10,7,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)I,518.0,6,"Tg (DTMA), K"
11,7,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)I,511.0,7,"Tg (DSC), K"
12,7,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)I,523.0,10,"Tsoft, K"
13,7,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)I,530.0,10,"Tsoft, K"
14,7,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)I,484.0,11,"Tg, K  (calc)"
15,11,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Oc1cccc2c1C(=O)N(C2=O)I,568.0,6,"Tg (DTMA), K"
16,11,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Oc1cccc2c1C(=O)N(C2=O)I,563.0,7,"Tg (DSC), K"
17,11,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Oc1cccc2c1C(=O)N(C2=O)I,511.0,11,"Tg, K  (calc)"
